date,remittance,exchange_rate,oil_price,dofe_departures,dofe_lag3,dofe_lag6,dofe_lag9,covid_shock,remittance_diff,exchange_rate_diff,oil_price_diff,dofe_departures_diff,dofe_lag3_diff,dofe_lag6_diff,dofe_lag9_diff
2014-04-01,41075.70000000001,96.29,104.86666666667,65010.0,67186.0,40514.0,59707.0,0,-3740.7999999999884,-1.5899999999999892,0.8266666666699933,-1978.0,6430.0,7907.0,770.0
2014-05-01,46678.19999999995,95.5,105.71333333333,75759.0,51944.0,46442.0,54134.0,0,5602.499999999942,-0.7900000000000063,0.8466666666599991,10749.0,-15242.0,5928.0,-5573.0
2014-06-01,46475.70000000001,95.62,108.37333333333,68265.0,66988.0,60756.0,32607.0,0,-202.4999999999418,0.12000000000000455,2.6599999999999966,-7494.0,15044.0,14314.0,-21527.0
2014-07-01,52341.300000000105,96.2,105.22666666667,74487.0,65010.0,67186.0,40514.0,0,5865.600000000093,0.5799999999999983,-3.1466666666599963,6222.0,-1978.0,6430.0,7907.0
2014-08-01,42193.5,97.22,100.05,52127.0,75759.0,51944.0,46442.0,0,-10147.800000000105,1.019999999999996,-5.176666666670002,-22360.0,10749.0,-15242.0,5928.0
2014-09-01,42285.4,97.82,95.85,63339.0,68265.0,66988.0,60756.0,0,91.90000000000146,0.5999999999999943,-4.200000000000003,11212.0,-7494.0,15044.0,14314.0
2014-10-01,49711.0,98.94,86.08,48695.0,74487.0,65010.0,67186.0,0,7425.5999999999985,1.1200000000000045,-9.769999999999996,-14644.0,6222.0,-1978.0,6430.0
2014-11-01,46151.40000000002,98.76,76.99333333333,65118.0,52127.0,75759.0,51944.0,0,-3559.5999999999767,-0.1799999999999926,-9.086666666669998,16423.0,-22360.0,10749.0,-15242.0
2014-12-01,46862.4,99.67,60.70333333333,72797.0,63339.0,68265.0,66988.0,0,710.9999999999782,0.9099999999999966,-16.29,7679.0,11212.0,-7494.0,15044.0
2015-01-01,48755.70000000001,99.43,47.10666666667,63250.0,48695.0,74487.0,65010.0,0,1893.3000000000102,-0.23999999999999488,-13.59666666666,-9547.0,-14644.0,6222.0,-1978.0
2015-02-01,44975.20000000001,99.61,54.79,64244.0,65118.0,52127.0,75759.0,0,-3780.5,0.1799999999999926,7.683333333329998,994.0,16423.0,-22360.0,10749.0
2015-03-01,50060.90000000002,100.75,52.82666666667,62012.0,72797.0,63339.0,68265.0,0,5085.700000000012,1.1400000000000006,-1.9633333333299987,-2232.0,7679.0,11212.0,-7494.0
2015-04-01,55194.399999999965,99.7,57.54333333333,73834.0,63250.0,48695.0,74487.0,0,5133.499999999942,-1.0499999999999972,4.716666666659997,11822.0,-9547.0,-14644.0,6222.0
2015-05-01,62879.00000000006,102.46,62.50666666667,47086.0,64244.0,65118.0,52127.0,0,7684.600000000093,2.759999999999991,4.963333333340003,-26748.0,994.0,16423.0,-22360.0
2015-06-01,62673.29999999999,102.5,61.30666666667,60886.0,62012.0,72797.0,63339.0,0,-205.70000000006985,0.04000000000000625,-1.2000000000000028,13800.0,-2232.0,7679.0,11212.0
2015-07-01,65536.59999999998,101.44,54.34,26600.0,73834.0,63250.0,48695.0,0,2863.2999999999884,-1.0600000000000023,-6.966666666669994,-34286.0,11822.0,-9547.0,-14644.0
2015-08-01,53272.4,104.01,45.69,51665.0,47086.0,64244.0,65118.0,0,-12264.199999999975,2.5700000000000074,-8.650000000000006,25065.0,-26748.0,994.0,16423.0
2015-09-01,54395.99999999999,106.22,46.28,52671.0,60886.0,62012.0,72797.0,0,1123.5999999999913,2.2099999999999937,0.5900000000000034,1006.0,13800.0,-2232.0,7679.0
2015-10-01,58752.70000000001,103.79,46.95666666667,50554.0,26600.0,73834.0,63250.0,0,4356.700000000019,-2.4299999999999926,0.6766666666700019,-2117.0,-34286.0,11822.0,-9547.0
2015-11-01,48966.79999999999,105.76,43.11333333333,40685.0,51665.0,47086.0,64244.0,0,-9785.900000000023,1.9699999999999989,-3.8433333333400057,-9869.0,25065.0,-26748.0,994.0
2015-12-01,55983.30000000002,107.3,36.57333333333,67981.0,52671.0,60886.0,62012.0,0,7016.500000000029,1.539999999999992,-6.539999999999999,27296.0,1006.0,13800.0,-2232.0
2016-01-01,52321.29999999999,106.9,29.78,60173.0,50554.0,26600.0,73834.0,0,-3662.000000000029,-0.3999999999999915,-6.793333333329997,-7808.0,-2117.0,-34286.0,11822.0
2016-02-01,51463.29999999999,109.18,31.03,54090.0,40685.0,51665.0,47086.0,0,-858.0,2.280000000000001,1.25,-6083.0,-9869.0,25065.0,-26748.0
2016-03-01,52217.20000000001,107.53,37.34,57470.0,67981.0,52671.0,60886.0,0,753.9000000000233,-1.6500000000000057,6.310000000000002,3380.0,27296.0,1006.0,13800.0
2016-04-01,54312.70000000007,106.22,40.75,55316.0,60173.0,50554.0,26600.0,0,2095.500000000058,-1.3100000000000023,3.4099999999999966,-2154.0,-7808.0,-2117.0,-34286.0
2016-05-01,57187.69999999995,106.57,45.93666666667,58960.0,54090.0,40685.0,51665.0,0,2874.9999999998836,0.3499999999999943,5.18666666667,3644.0,-6083.0,-9869.0,25065.0
2016-06-01,60076.80000000005,107.38,47.68666666667,58688.0,57470.0,67981.0,52671.0,0,2889.100000000093,0.8100000000000023,1.75,-272.0,3380.0,27296.0,1006.0
2016-07-01,66114.14822111628,107.03,44.12666666667,48558.0,55316.0,60173.0,50554.0,0,6037.348221116234,-0.3499999999999943,-3.5600000000000023,-10130.0,-2154.0,-7808.0,-2117.0
2016-08-01,51940.19543054203,107.02,44.87666666667,51107.0,58960.0,54090.0,40685.0,0,-14173.95279057425,-0.010000000000005116,0.75,2549.0,3644.0,-6083.0,-9869.0
2016-09-01,62799.5815927571,107.15,45.04333333333,49312.0,58688.0,57470.0,67981.0,0,10859.386162215073,0.13000000000000966,0.1666666666599994,-1795.0,-272.0,3380.0,27296.0
2016-10-01,57057.09418636473,106.79,49.29333333333,42208.0,48558.0,55316.0,60173.0,0,-5742.487406392371,-0.35999999999999943,4.25,-7104.0,-10130.0,-2154.0,-7808.0
2016-11-01,60340.928790336126,107.61,45.26,59182.0,51107.0,58960.0,54090.0,0,3283.8346039713942,0.8199999999999932,-4.033333333329999,16974.0,2549.0,3644.0,-6083.0
2016-12-01,55526.40000000002,108.0,52.62,65891.0,49312.0,58688.0,57470.0,0,-4814.528790336102,0.39000000000000057,7.359999999999999,6709.0,-1795.0,-272.0,3380.0
2017-01-01,54569.26462058182,108.84,53.59,53798.0,42208.0,48558.0,55316.0,0,-957.1353794182069,0.8400000000000034,0.970000000000006,-12093.0,-7104.0,-10130.0,-2154.0
2017-02-01,52333.63517272228,106.93,54.35333333333,57513.0,59182.0,51107.0,58960.0,0,-2235.6294478595373,-1.9099999999999966,0.7633333333299959,3715.0,16974.0,2549.0,3644.0
2017-03-01,55424.48112232331,106.57,50.90333333333,55969.0,65891.0,49312.0,58688.0,0,3090.8459496010328,-0.36000000000001364,-3.4499999999999957,-1544.0,6709.0,-1795.0,-272.0
2017-04-01,61939.94710350782,103.4,52.16333333333,70719.0,53798.0,42208.0,48558.0,0,6515.465981184505,-3.1699999999999875,1.259999999999998,14750.0,-12093.0,-7104.0,-10130.0
2017-05-01,55040.31206747599,102.91,49.89333333333,54337.0,57513.0,59182.0,51107.0,0,-6899.635036031825,-0.4900000000000091,-2.270000000000003,-16382.0,3715.0,16974.0,2549.0
2017-06-01,66447.89217857143,103.07,46.16666666667,58710.0,55969.0,65891.0,49312.0,0,11407.580111095442,0.1599999999999966,-3.7266666666600017,4373.0,-1544.0,6709.0,-1795.0
2017-07-01,62032.66358904366,103.16,47.65666666667,40484.0,70719.0,53798.0,42208.0,0,-4415.228589527775,0.09000000000000341,1.490000000000002,-18226.0,14750.0,-12093.0,-7104.0
2017-08-01,55552.81899049226,102.59,49.94333333333,46382.0,54337.0,57513.0,59182.0,0,-6479.844598551397,-0.5699999999999932,2.286666666660004,5898.0,-16382.0,3715.0,16974.0
2017-09-01,59998.89110773227,102.52,52.95,51076.0,58710.0,55969.0,65891.0,0,4446.072117240008,-0.07000000000000739,3.00666666667,4694.0,4373.0,-1544.0,6709.0
2017-10-01,60772.014374599545,103.59,54.92,49133.0,40484.0,70719.0,53798.0,0,773.1232668672747,1.0700000000000074,1.9699999999999989,-1943.0,-18226.0,14750.0,-12093.0
2017-11-01,52625.99365660717,104.34,59.93333333333,60573.0,46382.0,54337.0,57513.0,0,-8146.020717992375,0.75,5.013333333329996,11440.0,5898.0,-16382.0,3715.0
2017-12-01,56530.98859350657,102.95,61.18666666667,52792.0,51076.0,58710.0,55969.0,0,3904.9949368993985,-1.3900000000000006,1.2533333333400023,-7781.0,4694.0,4373.0,-1544.0
2018-01-01,55062.76641561109,101.82,66.22666666667,53121.0,49133.0,40484.0,70719.0,0,-1468.2221778954772,-1.1300000000000097,5.039999999999999,329.0,-1943.0,-18226.0,14750.0
2018-02-01,60805.56037938304,103.04,63.46,52452.0,60573.0,46382.0,54337.0,0,5742.793963771946,1.220000000000013,-2.766666666669998,-669.0,11440.0,5898.0,-16382.0
2018-03-01,70506.39791300014,103.83,64.16666666667,53219.0,52792.0,51076.0,58710.0,0,9700.837533617101,0.789999999999992,0.7066666666699959,767.0,-7781.0,4694.0,4373.0
2018-04-01,68521.48307785945,104.42,68.79333333333,60205.0,53121.0,49133.0,40484.0,0,-1984.9148351406911,0.5900000000000034,4.62666666666,6986.0,329.0,-1943.0,-18226.0
2018-05-01,66303.09024187911,107.73,73.43,56493.0,52452.0,60573.0,46382.0,0,-2218.3928359803394,3.3100000000000023,4.63666666667001,-3712.0,-669.0,11440.0,5898.0
2018-06-01,73051.01493303571,108.24,71.97666666667,50796.0,53219.0,52792.0,51076.0,0,6747.924691156601,0.5099999999999909,-1.4533333333300078,-5697.0,767.0,-7781.0,4694.0
2018-07-01,75327.56425220217,109.64,72.66666666667,34383.0,60205.0,53121.0,49133.0,0,2276.5493191664573,1.4000000000000057,0.6899999999999977,-16413.0,6986.0,329.0,-1943.0
2018-08-01,73954.19424340883,111.84,71.08333333333,36899.0,56493.0,52452.0,60573.0,0,-1373.3700087933394,2.200000000000003,-1.5833333333399935,2516.0,-3712.0,-669.0,11440.0
2018-09-01,80247.67993083815,114.96,75.36333333333,31987.0,50796.0,53219.0,52792.0,0,6293.485687429318,3.1199999999999903,4.280000000000001,-4912.0,-5697.0,767.0,-7781.0
2018-10-01,87969.7967145411,117.54,76.72666666667,42879.0,34383.0,60205.0,53121.0,0,7722.11678370295,2.5800000000000125,1.3633333333399946,10892.0,-16413.0,6986.0,329.0
2018-11-01,70087.21482891077,115.18,62.31666666667,37804.0,36899.0,56493.0,52452.0,0,-17882.581885630323,-2.3599999999999994,-14.409999999999997,-5075.0,2516.0,-3712.0,-669.0
2018-12-01,64323.50796839979,115.04,53.96,49197.0,31987.0,50796.0,53219.0,0,-5763.706860510982,-0.14000000000000057,-8.356666666670002,11393.0,-4912.0,-5697.0,767.0
2019-01-01,66773.33292038436,112.78,56.58333333333,50767.0,42879.0,34383.0,60205.0,0,2449.8249519845704,-2.260000000000005,2.6233333333300024,1570.0,10892.0,-16413.0,6986.0
2019-02-01,72199.73136235587,113.88,61.13333333333,41861.0,37804.0,36899.0,56493.0,0,5426.3984419715125,1.0999999999999943,4.549999999999997,-8906.0,-5075.0,2516.0,-3712.0
2019-03-01,66636.71923321532,111.26,63.78666666667,45107.0,49197.0,31987.0,50796.0,0,-5563.012129140552,-2.6199999999999903,2.653333333340001,3246.0,11393.0,-4912.0,-5697.0
2019-04-01,70996.63973146654,110.65,68.57666666667,45989.0,50767.0,42879.0,34383.0,0,4359.9204982512165,-0.6099999999999994,4.789999999999992,882.0,1570.0,10892.0,-16413.0
2019-05-01,72201.08276862174,112.86,66.83333333333,49460.0,41861.0,37804.0,36899.0,0,1204.4430371552007,2.2099999999999937,-1.74333333333999,3471.0,-8906.0,-5075.0,2516.0
2019-06-01,73722.38489999995,111.69,59.76,44395.0,45107.0,49197.0,31987.0,0,1521.3021313782083,-1.1700000000000017,-7.073333333330005,-5065.0,3246.0,11393.0,-4912.0
2019-07-01,80254.86489452096,109.66,61.47666666667,40141.0,45989.0,50767.0,42879.0,0,6532.479994521011,-2.030000000000001,1.716666666670001,-4254.0,882.0,1570.0,10892.0
2019-08-01,75401.47187661966,113.85,57.67,32577.0,49460.0,41861.0,37804.0,0,-4853.393017901297,4.189999999999998,-3.8066666666699973,-7564.0,3471.0,-8906.0,-5075.0
2019-09-01,77949.93589584607,114.56,60.04,39388.0,44395.0,45107.0,49197.0,0,2548.464019226405,0.710000000000008,2.3699999999999974,6811.0,-5065.0,3246.0,11393.0
2019-10-01,76510.54872091138,114.3,57.27333333333,37106.0,40141.0,45989.0,50767.0,0,-1439.3871749346872,-0.2600000000000051,-2.766666666669998,-2282.0,-4254.0,882.0,1570.0
2019-11-01,73798.2487917156,114.86,60.40333333333,51499.0,32577.0,49460.0,41861.0,0,-2712.299929195782,0.5600000000000023,3.1300000000000026,14393.0,-7564.0,3471.0,-8906.0
2019-12-01,72019.68632418942,113.3,63.35333333333,57297.0,39388.0,44395.0,45107.0,0,-1778.5624675261788,-1.5600000000000023,2.9499999999999957,5798.0,6811.0,-5065.0,3246.0
2020-01-01,70273.51505481382,113.38,61.62666666667,53006.0,37106.0,40141.0,45989.0,0,-1746.171269375598,0.0799999999999983,-1.7266666666600017,-4291.0,-2282.0,-4254.0,882.0
2020-02-01,65986.03995155531,114.06,53.34666666667,48970.0,51499.0,32577.0,49460.0,0,-4287.4751032585045,0.6800000000000068,-8.280000000000001,-4036.0,14393.0,-7564.0,3471.0
2020-03-01,79252.83967093157,118.74,32.20333333333,49588.0,57297.0,39388.0,44395.0,0,13266.799719376257,4.679999999999993,-21.143333333339996,618.0,5798.0,6811.0,-5065.0
2020-04-01,34516.80846265773,122.06,21.04333333333,0.0,53006.0,37106.0,40141.0,0,-44736.03120827384,3.3200000000000074,-11.16,-49588.0,-4291.0,-2282.0,-4254.0
2020-05-01,53971.84456335881,120.81,30.38,0.0,48970.0,51499.0,32577.0,0,19455.03610070108,-1.25,9.336666666669998,0.0,-4036.0,14393.0,-7564.0
2020-06-01,93977.5641732954,121.35,39.45666666667,0.0,49588.0,57297.0,39388.0,0,40005.71960993658,0.539999999999992,9.076666666670004,0.0,618.0,5798.0,6811.0
2020-07-01,101368.45329110032,120.67,42.06666666667,2494.0,0.0,53006.0,37106.0,1,7390.889117804923,-0.6799999999999926,2.6099999999999994,2494.0,-49588.0,-4291.0,-2282.0
2020-08-01,92742.76005228114,119.85,43.44333333333,3152.0,0.0,48970.0,51499.0,1,-8625.693238819178,-0.8200000000000074,1.3766666666600003,658.0,0.0,-4036.0,14393.0
2020-09-01,73027.70617194538,117.84,40.59666666667,1525.0,0.0,49588.0,57297.0,1,-19715.053880335763,-2.009999999999991,-2.8466666666600062,-1627.0,0.0,618.0,5798.0
2020-10-01,93170.5292279606,117.42,39.9,8097.0,2494.0,0.0,53006.0,1,20142.823056015215,-0.4200000000000017,-0.6966666666699979,6572.0,2494.0,-49588.0,-4291.0
2020-11-01,78877.00641248099,119.37,42.30333333333,7797.0,3152.0,0.0,48970.0,1,-14293.522815479606,1.9500000000000028,2.4033333333300035,-300.0,658.0,0.0,-4036.0
2020-12-01,79143.62113537057,117.83,48.72666666667,10591.0,1525.0,0.0,49588.0,1,266.6147228895861,-1.5400000000000063,6.423333333339997,2794.0,-1627.0,0.0,618.0
2021-01-01,78509.78765838116,117.22,53.60333333333,12431.0,8097.0,2494.0,0.0,1,-633.8334769894136,-0.6099999999999994,4.87666666666,1840.0,6572.0,2494.0,-49588.0
2021-02-01,72418.96379158576,116.57,60.46333333333,14753.0,7797.0,3152.0,0.0,1,-6090.823866795399,-0.6500000000000057,6.859999999999999,2322.0,-300.0,658.0,0.0
2021-03-01,74442.00780322752,116.46,63.83,17887.0,10591.0,1525.0,0.0,1,2023.0440116417594,-0.10999999999999943,3.3666666666699996,3134.0,2794.0,-1627.0,0.0
2021-04-01,86886.86898567528,120.1,62.95,19808.0,12431.0,8097.0,2494.0,0,12444.861182447756,3.6400000000000006,-0.8799999999999955,1921.0,1840.0,6572.0,2494.0
2021-05-01,81038.30328034284,117.48,66.4,32142.0,14753.0,7797.0,3152.0,0,-5848.565705332439,-2.6199999999999903,3.450000000000003,12334.0,2322.0,-300.0,658.0
2021-06-01,61044.97225593508,116.92,71.80333333333,24363.0,17887.0,10591.0,1525.0,0,-19993.33102440776,-0.5600000000000023,5.403333333329996,-7779.0,3134.0,2794.0,-1627.0
2021-07-01,89752.05049859162,119.34,73.28333333333,4086.0,19808.0,12431.0,8097.0,0,28707.078242656542,2.4200000000000017,1.480000000000004,-20277.0,1921.0,1840.0,6572.0
2021-08-01,76625.35229512485,118.8,68.86666666667,25428.0,32142.0,14753.0,7797.0,0,-13126.698203466774,-0.5400000000000063,-4.4166666666600065,21342.0,12334.0,2322.0,-300.0
2021-09-01,79530.94866879965,117.59,72.8,36040.0,24363.0,17887.0,10591.0,0,2905.596373674809,-1.2099999999999937,3.9333333333299976,10612.0,-7779.0,3134.0,2794.0
2021-10-01,84484.8254918312,120.42,82.06333333333,39671.0,4086.0,19808.0,12431.0,0,4953.876823031547,2.8299999999999983,9.263333333329996,3631.0,-20277.0,1921.0,1840.0
2021-11-01,73370.4486709164,119.18,79.91666666667,54966.0,25428.0,32142.0,14753.0,0,-11114.376820914797,-1.2399999999999949,-2.1466666666599963,15295.0,21342.0,12334.0,2322.0
2021-12-01,76498.53250049119,121.39,72.86666666667,74557.0,36040.0,24363.0,17887.0,0,3128.0838295747817,2.2099999999999937,-7.049999999999997,19591.0,10612.0,-7779.0,3134.0
2022-01-01,80209.47018991783,118.22,83.92,67063.0,39671.0,4086.0,19808.0,0,3710.937689426646,-3.1700000000000017,11.053333333330002,-7494.0,3631.0,-20277.0,1921.0
2022-02-01,72136.74704887578,120.62,93.54333333333,54702.0,54966.0,25428.0,32142.0,0,-8072.72314104205,2.4000000000000057,9.623333333329995,-12361.0,15295.0,21342.0,12334.0
2022-03-01,91069.93655452086,122.55,112.39666666667,53735.0,74557.0,36040.0,24363.0,0,18933.189505645074,1.9299999999999926,18.853333333340004,-967.0,19591.0,10612.0,-7779.0
2022-04-01,93553.0524425148,121.82,103.41333333333,56498.0,67063.0,39671.0,4086.0,0,2483.1158879939467,-0.730000000000004,-8.98333333334,2763.0,-7494.0,3631.0,-20277.0
2022-05-01,87050.76068795624,123.93,110.09666666667,46104.0,54702.0,54966.0,25428.0,0,-6502.291754558566,2.1100000000000136,6.683333333340002,-10394.0,-12361.0,15295.0,21342.0
2022-06-01,92387.1972215909,124.86,116.8,63694.0,53735.0,74557.0,36040.0,0,5336.436533634667,0.9299999999999926,6.703333333329994,17590.0,-967.0,19591.0,10612.0
2022-07-01,100389.60241101962,127.81,105.08333333333,64655.0,56498.0,67063.0,39671.0,0,8002.405189428711,2.950000000000003,-11.716666666669994,961.0,2763.0,-7494.0,3631.0
2022-08-01,94498.75590496678,127.46,95.97333333333,64930.0,46104.0,54702.0,54966.0,0,-5890.84650605284,-0.3500000000000085,-9.11,275.0,-10394.0,-12361.0,15295.0
2022-09-01,97857.80242871006,127.52,88.22,78157.0,63694.0,53735.0,74557.0,0,3359.04652374328,0.060000000000002274,-7.753333333330005,13227.0,17590.0,-967.0,19591.0
2022-10-01,97982.3585585102,131.76999999999998,90.32666666667,62706.0,64655.0,56498.0,67063.0,0,124.5561298001412,4.249999999999986,2.1066666666699945,-15451.0,961.0,2763.0,-7494.0
2022-11-01,99972.06676540966,129.76,87.37666666667,78370.0,64930.0,46104.0,54702.0,0,1989.7082068994641,-2.009999999999991,-2.9499999999999886,15664.0,275.0,-10394.0,-12361.0
2022-12-01,103659.14194305976,131.94,78.06666666667,68564.0,78157.0,63694.0,53735.0,0,3687.0751776500983,2.180000000000007,-9.310000000000002,-9806.0,13227.0,17590.0,-967.0
2023-01-01,106163.0705291648,130.13,80.41,65464.0,62706.0,64655.0,56498.0,0,2503.928586105045,-1.8100000000000023,2.343333333329994,-3100.0,-15451.0,961.0,2763.0
2023-02-01,106078.332989702,132.0,80.25333333333,64284.0,78370.0,64930.0,46104.0,0,-84.7375394628034,1.8700000000000045,-0.15666666666999163,-1180.0,15664.0,275.0,-10394.0
2023-03-01,106118.28614909132,131.39999999999998,76.47333333333,61845.0,68564.0,78157.0,63694.0,0,39.9531593893189,-0.6000000000000227,-3.780000000000001,-2439.0,-9806.0,13227.0,17590.0
2023-04-01,111192.3860205236,131.32999999999998,82.46,61478.0,65464.0,62706.0,64655.0,0,5074.099871432278,-0.06999999999999318,5.98666666666999,-367.0,-3100.0,-15451.0,961.0
2023-05-01,101788.53349433024,131.47,74.12333333333,54457.0,64284.0,78370.0,64930.0,0,-9403.852526193354,0.14000000000001478,-8.336666666669998,-7021.0,-1180.0,15664.0,275.0
2023-06-01,107342.29797869328,131.36,73.26333333333,59422.0,61845.0,68564.0,78157.0,0,5553.7644843630405,-0.10999999999998522,-0.8599999999999994,4965.0,-2439.0,-9806.0,13227.0
2023-07-01,108033.38165154331,131.47,78.98333333333,55299.0,61478.0,65464.0,62706.0,0,691.083672850029,0.10999999999998522,5.719999999999999,-4123.0,-367.0,-3100.0,-15451.0
2023-08-01,116019.12383583808,132.73000000000002,84.72433333333,55575.0,54457.0,64284.0,78370.0,0,7985.742184294766,1.2600000000000193,5.741,276.0,-7021.0,-1180.0,15664.0
2023-09-01,112382.94546852696,133.10000000000002,92.22,50884.0,59422.0,61845.0,68564.0,0,-3636.1783673111204,0.37000000000000455,7.4956666666700045,-4691.0,4965.0,-2439.0,-9806.0
2023-10-01,136967.94094551718,133.25,89.08366666667,56235.0,55299.0,61478.0,65464.0,0,24584.995476990225,0.14999999999997726,-3.1363333333300005,5351.0,-4123.0,-367.0,-3100.0
2023-11-01,112625.3187557126,133.04000000000002,81.35433333333,43622.0,55575.0,54457.0,64284.0,0,-24342.62218980459,-0.20999999999997954,-7.729333333339994,-12613.0,276.0,-7021.0,-1180.0
2023-12-01,135289.0018494369,132.81,75.71933333333,71276.0,50884.0,59422.0,61845.0,0,22663.683093724307,-0.2300000000000182,-5.635000000000005,27654.0,-4691.0,4965.0,-2439.0
2024-01-01,119971.04863582482,133.04206896551725,80.227,65813.0,56235.0,55299.0,61478.0,0,-15317.953213612083,0.232068965517243,4.507666666670005,-5463.0,5351.0,-4123.0,-367.0
2024-02-01,105775.32365207432,132.87758620689655,83.764,62147.0,43622.0,55575.0,54457.0,0,-14195.724983750493,-0.16448275862069295,3.536999999999992,-3666.0,-12613.0,276.0,-7021.0
2024-03-01,122222.08863749716,132.66433333333333,85.447,65658.0,71276.0,50884.0,59422.0,0,16446.764985422837,-0.21325287356322065,1.683000000000007,3511.0,27654.0,-4691.0,4965.0
2024-04-01,121393.30119294884,133.18400000000003,90.054,70933.0,65813.0,56235.0,55299.0,0,-828.7874445483176,0.5196666666666943,4.606999999999999,5275.0,-5463.0,5351.0,-4123.0
2024-05-01,115987.6276834635,133.511935483871,81.995,70637.0,62147.0,43622.0,55575.0,0,-5405.673509485336,0.3279354838709878,-8.058999999999997,-296.0,-3666.0,-12613.0,276.0
2024-06-01,128905.09744595968,133.3921875,82.555,72861.0,65658.0,71276.0,50884.0,0,12917.46976249617,-0.11974798387100805,0.5600000000000023,2224.0,3511.0,27654.0,-4691.0
2024-07-01,117776.2723219546,133.60709677419356,85.296,58736.0,70933.0,65813.0,56235.0,0,-11128.825124005074,0.21490927419355899,2.7409999999999997,-14125.0,5275.0,-5463.0,5351.0
2024-08-01,136930.0,134.0534375,80.863,59575.0,70637.0,62147.0,43622.0,0,19153.727678045398,0.44634072580643647,-4.433000000000007,839.0,-296.0,-3666.0,-12613.0
2024-09-01,126000.0,134.27741935483868,74.293,57493.0,72861.0,65658.0,71276.0,0,-10930.0,0.2239818548386836,-6.569999999999993,-2082.0,2224.0,3511.0,27654.0
2024-10-01,144380.0,134.13,75.662,53525.0,58736.0,70933.0,65813.0,0,18380.0,-0.1474193548386893,1.3689999999999998,-3968.0,-14125.0,5275.0,-5463.0
2024-11-01,114320.0,134.66966666666667,74.395,70990.0,59575.0,70637.0,62147.0,0,-30060.0,0.5396666666666761,-1.2670000000000101,17465.0,839.0,-296.0,-3666.0
2024-12-01,118800.0,135.31400000000002,73.833,84226.0,57493.0,72861.0,65658.0,0,4480.0,0.6443333333333499,-0.5619999999999976,13236.0,-2082.0,2224.0,3511.0
2025-01-01,123150.0,136.72344827586207,79.206,67258.0,53525.0,58736.0,70933.0,0,4350.0,1.4094482758620472,5.373000000000005,-16968.0,-3968.0,-14125.0,5275.0
2025-02-01,137000.0,138.79299999999998,75.157,72441.0,70990.0,59575.0,70637.0,0,13850.0,2.0695517241379093,-4.049000000000007,5183.0,17465.0,839.0,-296.0
2025-03-01,150730.0,139.2462068965517,72.574,68963.0,84226.0,57493.0,72861.0,0,13730.0,0.45320689655173396,-2.5829999999999984,-3478.0,13236.0,-2082.0,2224.0
2025-04-01,140000.0,137.63290322580644,67.745,73403.0,67258.0,53525.0,58736.0,0,-10730.0,-1.6133036707452675,-4.8289999999999935,4440.0,-16968.0,-3968.0,-14125.0
2025-05-01,165300.0,136.3383870967742,64.206,78050.0,72441.0,70990.0,59575.0,0,25300.0,-1.294516129032246,-3.5390000000000015,4647.0,5183.0,17465.0,839.0
2025-06-01,176320.0,136.8658064516129,71.45,74467.0,68963.0,84226.0,57493.0,0,11020.0,0.5274193548387132,7.244,-3583.0,-3478.0,13236.0,-2082.0
